date,open,high,low,close,volume,target
2022-07-27,0.7751,0.9116,0.773,0.8761,24796209.9,1.117680630065061
2022-07-28,0.8768,0.9878,0.8458,0.9792,25564373.8,0.9424019607843137
2022-07-29,0.9796,0.9932,0.9052,0.9228,17225122.3,1.0525574338968358
2022-07-30,0.9228,1.0164,0.9207,0.9713,14167027.7,0.9554205703696077
2022-07-31,0.9713,0.9781,0.9117,0.928,9793039.9,0.9247844827586206
2022-08-01,0.9281,0.9315,0.85,0.8582,10285631.6,1.031694243766022
2022-08-02,0.8581,0.9065,0.8494,0.8854,8520389.1,1.0257510729613735
2022-08-03,0.8845,0.9257,0.879,0.9082,6648725.5,1.0129927328782207
2022-08-04,0.9083,0.9244,0.8759,0.92,5053641.2,1.0102173913043477
2022-08-05,0.9206,0.9416,0.896,0.9294,4961187.5,0.973208521626856
2022-08-06,0.9295,0.9383,0.8932,0.9045,3477726.6,1.0175787728026535
2022-08-07,0.9042,0.9254,0.9018,0.9204,1607324.1,1.010864841373316
2022-08-08,0.9215,0.9514,0.91,0.9304,4880275.6,0.9480868443680137
2022-08-09,0.9299,0.9303,0.8701,0.8821,3925715.7,1.0704001813853306
2022-08-10,0.8824,0.9489,0.8763,0.9442,7867654.5,0.9781825884346536
2022-08-11,0.9438,0.9565,0.9067,0.9236,6745606.2,1.082286704200953
2022-08-12,0.9234,1.0008,0.9062,0.9996,7556713.4,1.0304121648659463
2022-08-13,0.9999,1.0459,0.99,1.03,7339004.7,0.9824271844660194
2022-08-14,1.0299,1.0547,0.9844,1.0119,4797162.3,0.937345587508647
2022-08-15,1.0118,1.0164,0.9316,0.9485,7726323.5,1.0029520295202952
2022-08-16,0.9483,0.9679,0.9251,0.9513,5745245.8,0.9361925785766845
2022-08-17,0.9503,0.9637,0.8767,0.8906,6279570.3,0.9370087581405795
2022-08-18,0.8902,0.9097,0.8207,0.8345,5984168.4,0.9588975434391851
2022-08-19,0.8343,0.8367,0.7639,0.8002,10946383.1,0.9833791552111972
2022-08-20,0.8006,0.8167,0.7587,0.7869,5869845.7,1.031643156690812
2022-08-21,0.7876,0.83,0.7793,0.8118,4465998.9,1.0043114067504313
2022-08-22,0.8118,0.8259,0.7685,0.8153,5961063.2,0.995707101680363
2022-08-23,0.8149,0.8369,0.7912,0.8118,6238951.5,1.006528701650653
2022-08-24,0.8125,0.8398,0.8031,0.8171,4542388.2,1.0053848978093256
2022-08-25,0.818,0.8323,0.8055,0.8215,3412094.0,0.9358490566037736
2022-08-26,0.8208,0.8462,0.7538,0.7688,10116268.4,1.0509885535900103
2022-08-27,0.769,0.8213,0.7559,0.808,6485374.5,0.9649752475247524
2022-08-28,0.8089,0.8329,0.7618,0.7797,6180051.0,1.0664358086443504
2022-08-29,0.7796,0.8377,0.7723,0.8315,4942278.4,1.0067348165965122
2022-08-30,0.8317,0.8438,0.7831,0.8371,5554236.4,1.0070481423963684
2022-08-31,0.8375,0.8564,0.8174,0.843,4718034.0,1.048991696322657
2022-09-01,0.8434,0.8965,0.8222,0.8843,6187155.6,0.9886916204907836
2022-09-02,0.8841,0.9142,0.8631,0.8743,4441937.1,1.0144115292233788
2022-09-03,0.8747,0.8952,0.8664,0.8869,1646732.8,1.0084564212425302
2022-09-04,0.8868,0.9038,0.8723,0.8944,2010981.7,0.9896019677996423
2022-09-05,0.895,0.9231,0.8621,0.8851,4610299.9,0.9097277143825557
2022-09-06,0.8851,0.9042,0.7919,0.8052,6912235.4,1.0433432687531048
2022-09-07,0.8052,0.8508,0.7965,0.8401,3919394.2,1.0379716700392811
2022-09-08,0.8398,0.8743,0.8157,0.872,4020757.4,1.0184633027522936
2022-09-09,0.8718,0.9005,0.8689,0.8881,4940874.5,1.0086701947978831
2022-09-10,0.8879,0.9174,0.8783,0.8958,2510731.5,0.9864925206519313
2022-09-11,0.8958,0.9125,0.8717,0.8837,3451655.0,1.0595224623741089
2022-09-12,0.8843,0.9415,0.8778,0.9363,9874960.9,0.9255580476343053
2022-09-13,0.9378,0.943,0.8392,0.8666,11649647.2,0.970343872605585
2022-09-14,0.8663,0.868,0.8315,0.8409,5661044.9,0.9759781186823642
2022-09-15,0.8408,0.8759,0.8137,0.8207,5009603.9,0.9935420982088461
2022-09-16,0.8209,0.8253,0.7874,0.8154,2862654.7,1.0079715477066469
2022-09-17,0.8151,0.8311,0.8081,0.8219,1145084.8,0.904124589366103
2022-09-18,0.8219,0.8361,0.7329,0.7431,5105357.7,1.0157448526443278
2022-09-19,0.7429,0.7752,0.7248,0.7548,4729816.0,0.9842342342342342
2022-09-20,0.7551,0.7654,0.7291,0.7429,2708963.0,0.9707901467223045
2022-09-21,0.744,0.7787,0.65,0.7212,10258030.9,1.0635052689961177
2022-09-22,0.7214,0.7735,0.7188,0.767,5169952.3,1.011864406779661
2022-09-23,0.7668,0.7851,0.7229,0.7761,5955979.0,0.9820899368638062
2022-09-24,0.776,0.7821,0.7501,0.7622,2206289.2,0.9631330359485699
2022-09-25,0.7623,0.7671,0.731,0.7341,2045803.6,1.058438904781365
2022-09-26,0.7341,0.782,0.7262,0.777,4977167.2,0.9346203346203346
2022-09-27,0.7774,0.7933,0.7122,0.7262,7360370.9,1.0279537317543377
2022-09-28,0.7262,0.7542,0.7201,0.7465,3414214.2,1.038312123241795
2022-09-29,0.7468,0.78,0.7314,0.7751,3085737.7,1.0039994839375563
2022-09-30,0.7746,0.7895,0.7615,0.7782,4022582.2,0.99550244153174
2022-10-01,0.7784,0.7795,0.7597,0.7747,842744.3,0.991093326448948
2022-10-02,0.7745,0.7834,0.7547,0.7678,1470267.0,1.057827559260224
2022-10-03,0.7677,0.8182,0.7654,0.8122,3582425.2,1.0299187392267914
2022-10-04,0.8121,0.8471,0.8075,0.8365,5916293.3,1.0144650328750746
2022-10-05,0.8366,0.8608,0.8212,0.8486,5493185.4,0.9891586141880745
2022-10-06,0.8495,0.8503,0.8305,0.8394,3704545.9,0.98224922563736
2022-10-07,0.8403,0.848,0.8189,0.8245,2240382.3,0.9836264402668284
2022-10-08,0.8243,0.8281,0.808,0.811,902214.3,1.027620221948212
2022-10-09,0.811,0.8399,0.8103,0.8334,1381067.9,0.9629229661627069
2022-10-10,0.8326,0.8428,0.7935,0.8025,4110932.9,0.9909034267912773
2022-10-11,0.8027,0.8094,0.7843,0.7952,2016427.0,0.9602615694164989
2022-10-12,0.7957,0.8014,0.7627,0.7636,1859330.1,1.0502881089575695
2022-10-13,0.7636,0.8056,0.716,0.802,9359459.8,0.9957605985037405
2022-10-14,0.8021,0.8224,0.7784,0.7986,4890616.6,0.9938642624593038
2022-10-15,0.799,0.8036,0.7858,0.7937,1942737.5,1.0172609298223512
2022-10-16,0.7967,0.8096,0.7907,0.8074,1086277.5,1.073074064899678
2022-10-17,0.8075,0.8712,0.8042,0.8664,5367068.5,0.9928439519852262
2022-10-18,0.868,0.8786,0.8357,0.8602,4843665.1,0.9784933736340387
2022-10-19,0.8605,0.8811,0.8262,0.8417,5354956.4,0.9636450041582512
2022-10-20,0.8422,0.8479,0.7991,0.8111,5264148.6,1.0082603871285907
2022-10-21,0.8107,0.8376,0.7753,0.8178,5145709.3,1.0134507214477868
2022-10-22,0.8179,0.8408,0.8132,0.8288,1841278.0,1.065395752895753
2022-10-23,0.8289,0.9086,0.8205,0.883,7363306.9,1.011664779161948
2022-10-24,0.8829,0.905,0.8718,0.8933,5245062.5,1.0383969551102652
2022-10-25,0.8923,0.948,0.8748,0.9276,7481966.2,1.0123975851660199
2022-10-26,0.9279,0.9676,0.9208,0.9391,7397843.0,0.9661377915025023
2022-10-27,0.9377,0.9461,0.895,0.9073,6305059.1,1.0358205665160365
2022-10-28,0.9073,0.95,0.8968,0.9398,4453037.0,0.988401787614386
2022-10-29,0.9401,0.9586,0.9225,0.9289,3433261.7,0.9786844654968243
2022-10-30,0.929,0.9489,0.8961,0.9091,2976422.3,0.9918600813991859
2022-10-31,0.9091,0.9294,0.8933,0.9017,4165617.1,0.9678385272263503
2022-11-01,0.9009,0.909,0.861,0.8727,3223669.6,1.1025552881860892
2022-11-02,0.8729,0.984,0.8362,0.9622,16615980.7,1.1726252338391188
2022-11-03,0.9625,1.15,0.9224,1.1283,19285219.2,1.0498980767526367
2022-11-04,1.1287,1.3008,1.097,1.1846,28205036.5,0.9774607462434576
2022-11-05,1.1856,1.2383,1.1325,1.1579,8791949.6,1.0360134726660335
2022-11-06,1.157,1.2428,1.1299,1.1996,10227635.0,0.9199733244414804
2022-11-07,1.1995,1.2907,1.0609,1.1036,20965985.0,0.8769481696266764
2022-11-08,1.1034,1.2395,0.9,0.9678,37107708.7,0.9807811531308122
2022-11-09,0.9686,0.9932,0.76,0.9492,26620183.7,1.1452802359882004
2022-11-10,0.9493,1.1596,0.8962,1.0871,29809635.7,0.8638579707478614
2022-11-11,1.0844,1.1004,0.9244,0.9391,11069934.2,1.0150143754658716
2022-11-12,0.9388,0.9903,0.9226,0.9532,5003627.4,0.9101972303818716
2022-11-13,0.9522,0.9551,0.8325,0.8676,6932014.6,1.0588981097279853
2022-11-14,0.8679,0.9614,0.8668,0.9187,10863009.6,1.031239795363013
2022-11-15,0.9189,0.9725,0.9177,0.9474,6505687.7,0.930441207515305
2022-11-16,0.9461,0.9495,0.8666,0.8815,5383143.9,1.0105501985252412
2022-11-17,0.8799,0.899,0.862,0.8908,3835562.9,0.9599236641221374
2022-11-18,0.8909,0.8978,0.8491,0.8551,2845988.5,1.0191790433867385
2022-11-19,0.8566,0.8826,0.8526,0.8715,2049472.4,0.9323006310958117
2022-11-20,0.8714,0.8744,0.7755,0.8125,6334028.2,0.9777230769230769
2022-11-21,0.8131,0.8195,0.7631,0.7944,6479686.8,1.0818227593152066
2022-11-22,0.7944,0.8715,0.7777,0.8594,8946612.2,1.0126832673958575
2022-11-23,0.8598,0.89,0.8357,0.8703,5377441.9,0.94657014822475
2022-11-24,0.8705,0.8778,0.8194,0.8238,3191029.7,1.0455207574654042
2022-11-25,0.8237,0.8706,0.8237,0.8613,2444446.6,0.9880413328689192
2022-11-26,0.8593,0.8708,0.8385,0.851,1598904.6,0.9576968272620446
2022-11-27,0.8514,0.8652,0.8053,0.815,3475846.8,1.0317791411042945
2022-11-28,0.8154,0.8441,0.8042,0.8409,2989237.1,1.0294922107266025
2022-11-29,0.8405,0.8735,0.8272,0.8657,3406773.0,1.064918563012591
2022-11-30,0.8654,0.9444,0.8617,0.9219,7555970.3,0.9902375528799219
2022-12-01,0.9219,0.9446,0.8983,0.9129,6764249.9,1.0138021689122576
2022-12-02,0.9131,0.95,0.9081,0.9255,3565228.7,0.9902755267423015
2022-12-03,0.9262,0.9281,0.9,0.9165,1824888.4,1.0225859247135844
2022-12-04,0.9171,0.9398,0.9061,0.9372,2909966.7,0.9689500640204866
